review,rating,date,sentiment,clean_review
"bagus,, semoga pesenannya nambah lebih gede pagi ya 😄",5,2026-05-10 05:41:03,positif,bagus moga sen nambah gede pagi ya 
pemberitauan buka rek SeaBank dpt 200 rb Gratis mana sy buka rek SeaBànk tdk dpt 200 rb,1,2026-05-10 05:38:55,negatif,pemberitauan buka rek seabank dpt rb gratis sy buka rek seab nk tdk dpt rb
Spinjam gagal terus,5,2026-05-10 05:34:43,positif,spinjam gagal
mantap seabank smg tnpa kendala,5,2026-05-10 05:34:21,positif,mantap seabank smg tnpa kendala
okey bosh,5,2026-05-10 05:33:10,positif,okey bosh
Senang sekali ada kemudahan dalam membuat rekening bank secara online tidak perlu datang ke kantor bank.,5,2026-05-10 05:31:54,positif,senang mudah rekening bank online kantor bank
oke seabank muantab,2,2026-05-10 05:29:07,negatif,oke seabank muantab
mudah bnget,5,2026-05-10 05:27:43,positif,mudah bnget
sangat mudah untuk digunakan,5,2026-05-10 05:25:05,positif,mudah
baik sekali mudah2 an ada seabank pay later,4,2026-05-10 05:23:26,positif,mudah an seabank pay later
simple,5,2026-05-10 05:19:06,positif,simple
"Makiinn Serruu pakaii Akunn SEABANK jadii Makiinn untungg ,,,,,,,,",5,2026-05-10 05:13:52,positif,makiinn serruu pakai akunn seabank jadi makiinn untungg
sebank pijam aktifin di akan saya,5,2026-05-10 05:02:56,positif,bank pijam aktifin
cepat tepat.,5,2026-05-10 04:57:00,positif,cepat
Sangat baik,3,2026-05-10 04:52:58,netral,
sea bank mudah,5,2026-05-10 04:48:53,positif,sea bank mudah
suku bunganya wowww,4,2026-05-10 04:39:29,positif,suku bunga wowww
sanget mambantu,5,2026-05-10 04:37:52,positif,sanget mambantu
Mantap Pokoknya,5,2026-05-10 04:36:52,positif,mantap pokok
bagus dan kerjasama dan gratis admin lansung aja download seabank mantap banget kaka😄😄,5,2026-05-10 04:32:38,positif,bagus kerjasama gratis admin lansung aja download seabank mantap banget kaka
Barusan habis tf tp knpa hrs login lg dan udah berulang di login malah di blokir sementara cepet dong perbaiki lg,3,2026-05-10 04:28:23,netral,barusan habis tf tp knpa hrs login lg udah ulang login blokir cepet baik lg
senang dg aplikasi seabank,5,2026-05-10 04:28:21,positif,senang dg aplikasi seabank
The best pokok nya,5,2026-05-10 04:25:44,positif,the best pokok nya
mantabbbb,5,2026-05-10 04:17:37,positif,mantabbbb
aman mudah dan terpercaya,5,2026-05-10 03:56:15,positif,aman mudah percaya
sangat membamtu,5,2026-05-10 03:47:43,positif,membamtu
kerenn,5,2026-05-10 03:45:15,positif,kerenn
respon cepat,5,2026-05-10 03:42:23,positif,respon cepat
.::👌🏻(⁠•⁠‿⁠•⁠)👍🏻::.,4,2026-05-10 03:42:00,positif,
terimakasihhh puassd bgtt aku tuhh,5,2026-05-10 03:28:12,positif,terimakasihhh puassd bgtt tuhh
sangat bagus dan sangat bermanfaat,5,2026-05-10 03:17:06,positif,bagus manfaat
Mantap 👍,5,2026-05-10 03:14:54,positif,mantap 
keren dan luar biasa,5,2026-05-10 03:08:13,positif,keren
"akhir-akhir buka seabank susah, sudah update juga tapi tetap layar putih gitu. ada yang sama kah?",3,2026-05-10 03:04:40,netral,akhirakhir buka seabank susah update layar putih gitu kah
kekurangan nya susah untuk mengambil uang di desa,4,2026-05-10 03:02:56,positif,kurang nya susah ambil uang desa
dana motong gak jelas.. tiba2 ada transaksi yg gak tau dari mana asalnya.. mau komplain atau ngurus nya susah.. gak ada kantor cabang secara fisik..,1,2026-05-10 02:54:56,negatif,dana motong gak transaksi yg gak tau asal komplain ngurus nya susah gak kantor cabang fisik
ko sya ga dpt fitur,5,2026-05-10 02:51:32,positif,ko sya ga dpt fitur
"free transfer, praktis, cepat,",5,2026-05-10 02:51:20,positif,free transfer praktis cepat
antappppppppp,5,2026-05-10 02:50:36,positif,antappppppppp
cepat prosesnya,5,2026-05-10 02:50:23,positif,cepat proses
baru isi ke seaBank tidak masuk ke rekening saya,1,2026-05-10 02:49:23,negatif,isi seabank masuk rekening
sangat berguna,5,2026-05-10 02:46:22,positif,guna
"intinya puas bangt pake seabank, mudah dan aman. sejauh ini ga ada kendala apa"" si, cma kl bisa ditambah lagi jatah tariktunai gratisnya",5,2026-05-10 02:45:09,positif,inti puas bangt pake seabank mudah aman ga kendala si cma kl tambah jatah tariktunai gratis
iya bagus 👍🙏,5,2026-05-10 02:30:26,positif,iya bagus 
Terimakasih sangat membantu,5,2026-05-10 02:29:05,positif,terimakasih bantu
gratis biaya trf meskipun beda bank,5,2026-05-10 02:14:21,positif,gratis biaya trf beda bank
mantap seabank,5,2026-05-10 02:14:14,positif,mantap seabank
bagus . mantap transfer nya,5,2026-05-10 01:55:30,positif,bagus mantap transfer nya
in the best recomended. Gratis Tf lagi,5,2026-05-10 01:50:43,positif,in the best recomended gratis tf
Mudah untuk di gunakan dan aman tapi untuk qiuris nya agak eror dikit saat membayar pinjol saya,5,2026-05-10 01:45:08,positif,mudah aman qiuris nya eror dikit bayar pinjol
puya kami belum bisa. kirim lewat HP / di keris. belum bisa untuk teran saksi,1,2026-05-10 01:34:36,negatif,puya kirim hp keris teran saksi
cepat proses nya 👍,5,2026-05-10 01:30:23,positif,cepat proses nya 
sangat cepatt,5,2026-05-10 01:27:21,positif,cepatt
Transaksi mudah dan cepat😀,5,2026-05-10 01:20:46,positif,transaksi mudah cepat
"mana bonus 200k nya katanya kalo daftar langsung dapet saldo 200k, bohong banget",1,2026-05-10 01:18:22,negatif,bonus k nya kalo daftar langsung dapet saldo k bohong banget
mana uangnya katanya cair,5,2026-05-10 01:13:19,positif,uang cair
aman dan terjamin,5,2026-05-10 01:11:42,positif,aman jamin
"sangat puas, tolong dong fitur pinjaman nyah, padahal udah lama pakai",5,2026-05-10 01:01:14,positif,puas tolong fitur pinjam nyah udah pakai
senangnya hatiku banyak transfer gratis,5,2026-05-10 00:44:09,positif,senang hati transfer gratis
rekomen pisan,5,2026-05-10 00:36:20,positif,rekomen pis
terbaik dan nyaman,5,2026-05-10 00:34:30,positif,baik nyaman
tabungan yang sangat bagus,5,2026-05-10 00:26:46,positif,tabung bagus
sangattt baguss,5,2026-05-10 00:18:53,positif,sangattt baguss
"sangat membantu,dan membermudah transaksi",5,2026-05-10 00:15:53,positif,membantudan mudah transaksi
mantab pokoknya,5,2026-05-10 00:12:28,positif,mantab pokok
bru buka buat nabung ternyata klo uang gak d ambil maka akan bertambah dan kirim ke bank mana aj gak ad potongan 🙂,5,2026-05-09 23:57:32,positif,bru buka nabung klo uang gak d ambil tambah kirim bank aj gak ad potong 
cepat dan praktis,5,2026-05-09 23:55:01,positif,cepat praktis
semoga selalu menjaga amanah nasabah. terbaik 👍,5,2026-05-09 23:52:36,positif,moga jaga amanah nasabah baik 
mudah dan cepat buat transfer,5,2026-05-09 23:47:19,positif,mudah cepat transfer
"udh bagus bgttt cuman saran, bikin kantong tabungan dong biar bisa dipisah-pisah 🥲 sama satu lagi, bikin fitur yg bisa buat goals gitu",5,2026-05-09 23:32:36,positif,udh bagus bgttt cuman saran bikin kantong tabung biar dipisahpisah  bikin fitur yg goals gitu
bru pertamq buka alhqmdulillh mudah daftarnya,5,2026-05-09 23:27:25,positif,bru pertamq buka alhqmdulillh mudah daftar
Oke banget,5,2026-05-09 23:17:13,positif,oke banget
"Mudah, aman lancar sentosa",5,2026-05-09 23:17:06,positif,mudah aman lancar sentosa
istimewa,5,2026-05-09 23:06:08,positif,istimewa
sangat membabtu,5,2026-05-09 22:48:21,positif,membabtu
seabank bagus . transfer ke bank lain mudah dan cepat,5,2026-05-09 22:35:12,positif,seabank bagus transfer bank mudah cepat
mudah sekali disaat melakukan transaksi,5,2026-05-09 22:30:44,positif,mudah saat transaksi
"sangat puas dgn fitur & gratis transfernya tapi masih ada bug di xiaomi renot 8,layar putih semua di menu awal",2,2026-05-09 22:04:48,negatif,puas dgn fitur gratis transfer bug xiaomi renot layar putih menu
pelayanan nya sangat baik dan cepat.the besth Poko y,5,2026-05-09 22:03:31,positif,layan nya cepatthe besth poko y
mudah dan tidak ribet,5,2026-05-09 21:59:24,positif,mudah ribet
sangat membantu dan mudah untuk digunakan.,5,2026-05-09 21:52:06,positif,bantu mudah
"enak, mudah dan cepat",5,2026-05-09 21:15:48,positif,enak mudah cepat
lebih mudah bertransaksi lebih murah tanpa biaya admin,5,2026-05-09 20:42:08,positif,mudah transaksi murah biaya admin
di aplikasi saya tidak ada pinjaman nyaa,3,2026-05-09 20:36:45,netral,aplikasi pinjam nyaa
Mantaappp,5,2026-05-09 20:36:08,positif,mantaappp
di awali dengan bismillah,5,2026-05-09 20:32:03,positif,awal bismillah
sangat membantu masalh kirim uang,5,2026-05-09 20:21:04,positif,bantu masalh kirim uang
mantap jiwa cepat aman,5,2026-05-09 20:04:28,positif,mantap jiwa cepat aman
sangat baik dan membantu,5,2026-05-09 19:50:43,positif,bantu
mantap banget,4,2026-05-09 19:45:32,positif,mantap banget
senang bisa menggunakan seaBank transaksi cepat tidak ribet.,5,2026-05-09 19:40:13,positif,senang seabank transaksi cepat ribet
nayaman sekali,3,2026-05-09 19:37:59,netral,nayam
baik sekali apk ini,5,2026-05-09 19:35:14,positif,apk
mantab sea bank,5,2026-05-09 19:32:24,positif,mantab sea bank
cepat dan mudah,5,2026-05-09 19:31:33,positif,cepat mudah
"mantap tanpa ribet,tnpa potongan semua bank",5,2026-05-09 18:59:08,positif,mantap ribettnpa potong bank
"uninstall aja ah, berpa kali saya, bolak balik infut data. ga bisa login juga.. saya lupa password nya. kemudian di arahkan untuk isi data, sampai 6x login menggunakan KTP tetap juga tidak bisa. akhirnya kesabaran saya habis.. saya uninstall deh",1,2026-05-09 18:56:55,negatif,uninstall aja ah berpa kali bolak infut data ga login lupa password nya arah isi data x login ktp sabar habis uninstall deh
bagus +nyaman,5,2026-05-09 18:42:43,positif,bagus nyaman
cocok untuk menabung,5,2026-05-09 18:40:59,positif,cocok tabung
ok bngt,5,2026-05-09 18:28:19,positif,ok bngt
rekening tidak masuk ke sea bank,3,2026-05-09 18:12:21,netral,rekening masuk sea bank
bagus tanpa admin,5,2026-05-09 17:54:04,positif,bagus admin
ini kenapa transferan udah berhasil tapi belum masuk kerja rekening seabank!!,1,2026-05-09 17:45:58,negatif,transfer udah hasil masuk kerja rekening seabank
miris seabank nya pas gua login langsung layar putih tolong berikan terbaik untuk pengguna seabank agar semua pengguna merasa aman,1,2026-05-09 17:45:51,negatif,miris seabank nya pas gua login langsung layar putih tolong baik guna seabank guna aman
"4 Mei dapat transferan , mutasinya sudah diterima tapi dana tetap tertahan tulisannya dan sampai sekrang tanggal 10mei belum bisa ditarik , CS ditelp 4x jawaban tetap sama suruh menunggu pesan by gmail dan telpon , tapi sampai sekrang nihill. MENGECEWAKAN GAK AMAN BUAT NYIMPEN UANG",1,2026-05-09 17:45:08,negatif,mei transfer mutasi terima dana tahan tulis sekrang tanggal mei tarik cs ditelp x suruh tunggu pesan by gmail telpon sekrang nihill kecewa gak aman nyimpen uang
Seabank makin kesini makin mantap tapi trkadang masih ada bug mungkin jaringan saya kali kurang Stabil selebihnya oke,5,2026-05-09 17:38:34,positif,seabank kesini mantap trkadang bug jaring kali stabil lebih oke
mudh lancar,5,2026-05-09 17:37:10,positif,mudh lancar
"PELAYANAN DARI CS NYA SANGAT BAIK DAN SANGAT SABAR HUHUU, TERIMAKASIH YAAA🫂🫂💗💗💗💗",5,2026-05-09 17:34:46,positif,layan cs nya sabar huhuu terimakasih yaaa
Saya ingin menggunakan aplikasi ini,1,2026-05-09 17:31:30,negatif,aplikasi
bank nya sangat membantu proses cepat,5,2026-05-09 17:31:12,positif,bank nya bantu proses cepat
okk banget bosss...,5,2026-05-09 17:21:04,positif,okk banget bosss
sangat membanth,5,2026-05-09 17:19:19,positif,membanth
GHOOD,5,2026-05-09 17:02:37,positif,ghood
Sanga membuat sekali,5,2026-05-09 16:58:46,positif,sanga
Gampang digunakan,5,2026-05-09 16:58:15,positif,gampang
aplikasi bagus sangat recommended,5,2026-05-09 16:49:44,positif,aplikasi bagus recommended
aplikasi gatel gk bisa di buka cok,1,2026-05-09 16:45:42,negatif,aplikasi gatel gk buka cok
mantap lancar,5,2026-05-09 16:42:20,positif,mantap lancar
🤙,4,2026-05-09 16:40:14,positif,
Seabank apaan uang masuk aja sampe nggk ada nongol uang saya suruh levchat tapi mnh kli nggk bisa chat² suruh tlepon tapi harus pake pulsa kn sialan nih seabank,1,2026-05-09 16:36:28,negatif,seabank uang masuk aja sampe nggk nongol uang suruh levchat mnh kli nggk chat suruh tlepon pake pulsa kn sial nih seabank
cpt dan tepat,5,2026-05-09 16:35:45,positif,cpt
mantab seabank lebih mantap lg kalaw ada pitur pinjamannya,5,2026-05-09 16:32:18,positif,mantab seabank mantap lg kalaw pitur pinjam
saya senang menggunakan sea bank,5,2026-05-09 16:23:47,positif,senang sea bank
"Terima kasih karna telah berbeda dengan bank lain nya yg harus sisakan 25.000 yg gabisa di tarik, seabank emang paling terbaik",5,2026-05-09 16:17:13,positif,terima kasih karna beda bank nya yg sisa yg gabisa tarik seabank emang baik
bagus sekali biaya admin murah,5,2026-05-09 16:16:39,positif,bagus biaya admin murah
mnyenangkan,5,2026-05-09 16:08:26,positif,mnyenangkan
Sangat nyaman digunakan,5,2026-05-09 16:02:26,positif,nyaman
sampai saat ini blum ada kendala,4,2026-05-09 15:58:06,positif,blum kendala
layan bagus,5,2026-05-09 15:54:06,positif,layan bagus
enak .. lancarkan lagii,5,2026-05-09 15:45:17,positif,enak lancar lagi
ini apk bank yg sangat worth udah terdaftar OJK jadi aman dalam menyimpan uang dalam skala besar.,5,2026-05-09 15:31:17,positif,apk bank yg worth udah daftar ojk aman simpan uang skala
JOSSJISS,5,2026-05-09 15:29:58,positif,jossjiss
okeee,5,2026-05-09 15:19:56,positif,okeee
apk bobrok,1,2026-05-09 15:17:09,negatif,apk bobrok
"cepat aman ,",2,2026-05-09 15:16:37,negatif,cepat aman
sangat puas dengan pelayanan seabank .. di saat ada kesulitan costumer seabank membantu dengan memuaskan sampai tertuntaskan masalah nya,5,2026-05-09 15:13:20,positif,puas layan seabank sulit costumer seabank bantu muas tuntas nya
bgus Skali,5,2026-05-09 15:03:17,positif,bgus skali
sangat bagus dan prosesnya cepat,5,2026-05-09 14:57:45,positif,bagus proses cepat
sanagt terbantu,5,2026-05-09 14:53:47,positif,sanagt bantu
kenapa setiap saya melakukan witdraw di game selalu hilang saldo saya,2,2026-05-09 14:47:40,negatif,witdraw game hilang saldo
keren banget,5,2026-05-09 14:40:07,positif,keren banget
"good job, easy buat tranfer via bank maupun ewallet,,pertahankan,, lain kali klo bisa di uprgerd jgn ada admin buat tf ke dana, soalnya sama2 ewallet seabank jugaa. tapi scara keseluruhan,,no komen best for seabank👍",5,2026-05-09 14:30:21,positif,good job easy tranfer via bank ewalletpertahankan kali klo uprgerd jgn admin tf dana ewallet seabank jugaa scara keseluruhanno komen best for seabank
senang karna admin nya gratis,5,2026-05-09 14:28:02,positif,senang karna admin nya gratis
mudah di operasi kan...,5,2026-05-09 14:22:44,positif,mudah operasi
yes i like.. sangat berguna dan membatu sekali semoga slalu bermanfaat selamanya...,5,2026-05-09 14:19:44,positif,yes i like guna batu moga slalu manfaat
TF mudah dan cepet,5,2026-05-09 14:13:13,positif,tf mudah cepet
"setelah masukin pin, tampilan hanya putih kosong pada halam dengan navigation button! perbaiki bug ini internet dengan wifi dan data kecepatan 8 Mbps / perangkat ram 12 512 GB AnTuTu 1,5 juta",1,2026-05-09 14:10:57,negatif,masukin pin tampil putih kosong halam navigation button baik bug internet wifi data cepat mbps perangkat ram gb antutu juta
top bgt......,5,2026-05-09 14:08:45,positif,top bgt
setelah di update jadi lelet buat masuk,3,2026-05-09 14:06:23,netral,update lelet masuk
segala ny kini mode praktis dalam menabung dan pembayaran lainnya,5,2026-05-09 14:01:13,positif,ny mode praktis tabung bayar
mohon admin seabank kenapa setiap malam hari top up ke ewallet dana selalu bermasalah. mohon di atasi masalah ini rugi saya kalo setiap malam selalu gangguan...... trimakasih,3,2026-05-09 13:58:06,netral,mohon admin seabank malam top up ewallet dana masalah mohon atas rugi kalo malam ganggu trimakasih
sangat mudah buat transaksi tanpa bawa dompet,5,2026-05-09 13:51:27,positif,mudah transaksi bawa dompet
"aneh banget seabank ini, aku mau login lagi ke akunku gabisa, muter muter di halaman login terus, di suruh login dengan nomor yang terdaftar, login udah nih, bisa, masukin pin juga bisa benar pinnya, tapi setelah masukan pin malah di suruh verifikasi ktp, bukannya verifikasi apa tapi verifikasi pembuatan akun seabank, kan aneh, akunku itu sudah terdaftar woi ngapain disuruh verifikasi ktp lagi, sampe emosi muter muter di situ terus, tolonglah berpaiki, aneh banget ini males banget pakenya",1,2026-05-09 13:50:10,negatif,aneh banget seabank login akun gabisa muter muter halaman login suruh login nomor daftar login udah nih masukin pin pin masuk pin suruh verifikasi ktp verifikasi verifikasi buat akun seabank aneh akun daftar woi ngapain suruh verifikasi ktp sampe emosi muter muter situ tolong berpaiki aneh banget males banget pakenya
"kenapa aplikasi seabank malam ini susah untuk dibuka, apakah lagi ada gangguan",5,2026-05-09 13:48:42,positif,aplikasi seabank malam susah buka ganggu
"mantap kali wak, cuma scan qr tarik tunainya agak bermasalah dikit",5,2026-05-09 13:44:32,positif,mantap kali wak scan qr tarik tunai masalah dikit
siipp,5,2026-05-09 13:44:10,positif,siipp
sangat suka aplikasinya,5,2026-05-09 13:43:22,positif,suka aplikasi
membatu untuk tansaksi,5,2026-05-09 13:43:18,positif,batu tansaksi
godd,5,2026-05-09 13:41:10,positif,godd
"mudah,cepat dn murah..",5,2026-05-09 13:40:44,positif,mudahcepat dn murah
suka banget pke seeabank,5,2026-05-09 13:39:08,positif,suka banget pke seeabank
murah,5,2026-05-09 13:34:46,positif,murah
bikin emosi semenjak update ngeblack kalo di pake transaksi,2,2026-05-09 13:32:52,negatif,bikin emosi semenjak update ngeblack kalo pake transaksi
seneng,5,2026-05-09 13:32:07,positif,neng
aman terpercaya,5,2026-05-09 13:31:59,positif,aman percaya
"pokoknya bagus,tidak lelet...👍🏻👍🏻👍🏻",5,2026-05-09 13:31:48,positif,pokok bagustidak lelet
"mudah dan tidak ribet, saya sangat puas menggunakannya",5,2026-05-09 13:29:46,positif,mudah ribet puas guna
love,5,2026-05-09 13:25:41,positif,love
nyaman dan aman sejauh ini,5,2026-05-09 13:24:32,positif,nyaman aman
terima kasih dan sangat membantu,5,2026-05-09 13:24:01,positif,terima kasih bantu
hoax..gue udah menuhin syarat nya..kalo gini mah uninstal aja..tadi nya mau gue pake,1,2026-05-09 13:20:17,negatif,hoaxgue udah menuhin syarat nyakalo gin mah uninstal ajatadi nya gue pake
gampang dan cepat,5,2026-05-09 13:18:39,positif,gampang cepat
terbaikk,4,2026-05-09 13:16:02,positif,terbaikk
mending pake seabank dari pada ewalleg,5,2026-05-09 13:14:15,positif,mending pake seabank ewalleg
uji coba,3,2026-05-09 13:04:41,netral,uji coba
bagus dan mantap maximal.. 👍👍,4,2026-05-09 13:04:13,positif,bagus mantap maximal 
My bank 💵,5,2026-05-09 13:01:55,positif,my bank 
cukup bagus aplikasi seabank memuaskan,5,2026-05-09 13:00:12,positif,bagus aplikasi seabank muas
"layanan memuaskan, cuma bagi hasilnya kurang memuaskan",5,2026-05-09 12:58:38,positif,layan muas hasil muas
"cepet, praktis dan aman",5,2026-05-09 12:55:59,positif,cepet praktis aman
kok malah banyak bug. sudah login tapi tidak ada.tampilan apa2. gimana neh...mana buru buru mau transaksi,1,2026-05-09 12:55:14,negatif,bug login adatampilan gimana nehmana buru buru transaksi
Ok,4,2026-05-09 12:54:01,positif,ok
memudahkan hidup anyir. tapi sekarang ada pajak bunganya Ama adm top up ewalet.,5,2026-05-09 12:52:16,positif,mudah hidup anyir pajak bunga ama adm top up ewalet
lumayan asik lah nyaman siiiip,3,2026-05-09 12:47:53,netral,lumayan asik nyaman siiiip
waw,5,2026-05-09 12:31:31,positif,waw
cukup mudah dan aman,5,2026-05-09 12:23:02,positif,mudah aman
jadilah yg terbaik untuk selamanya,5,2026-05-09 12:12:07,positif,yg baik
JOSS GANDOSS,5,2026-05-09 12:07:52,positif,joss gandoss
mantap bagus pelayanannya,5,2026-05-09 12:07:49,positif,mantap bagus layan
proses mudah dan simpel,5,2026-05-09 12:07:03,positif,proses mudah simpel
seabank memang mantap,5,2026-05-09 12:06:15,positif,seabank mantap
alhamdulilah membantu bgt,5,2026-05-09 11:56:02,positif,alhamdulilah bantu bgt
aman,5,2026-05-09 11:53:08,positif,aman
simpel mudah aman tidak ribet,5,2026-05-09 11:52:07,positif,simpel mudah aman ribet
lancar bagus pokonamah,5,2026-05-09 11:47:52,positif,lancar bagus pokonamah
mempermudah sekaliuuu,5,2026-05-09 11:46:28,positif,mudah sekaliuuu
semoga selalu baik aplikasi ea,5,2026-05-09 11:45:17,positif,moga aplikasi ea
simpel dan cepat,5,2026-05-09 11:44:33,positif,simpel cepat
"sejauh ini, masih bagus banget",5,2026-05-09 11:44:11,positif,bagus banget
aplikasi sangat membantu banget....transfer tidak ada admin...suka banget,5,2026-05-09 11:42:24,positif,aplikasi bantu bangettransfer adminsuka banget
seabank bagus ..cepat buat transaksi,5,2026-05-09 11:42:07,positif,seabank bagus cepat transaksi
min aku bayar qrs. saldo kepotong. tpi gak berhasil gimn solusinya,1,2026-05-09 11:40:10,negatif,min bayar qrs saldo potong tpi gak hasil gimn solusi
"gagal dftar terus, OTP ga masuk""",5,2026-05-09 11:40:02,positif,gagal dftar otp ga masuk
saldo seabank saya blm masuk sudah 1 hari. katanya harus nunggu 1 hari. kenapa nerima saldo saja sampai menunggu lama. saya sudah lapor cs tapi saldo blm masuk juga. sudah kirim bukti pengiriman ke seabank berhasil dan sampai sekarang belum masuk juga. malah disuruh lapor ke pihak pengirim. sedangkan pihak pengirim sudah melampirkan bukti pengiriman dan detailnya. alasan karna bank pasif knp giliran seperti ini harus lama? mending pake bank yg lain,1,2026-05-09 11:32:18,negatif,saldo seabank blm masuk nunggu nerima saldo tunggu lapor cs saldo blm masuk kirim bukti kirim seabank hasil masuk suruh lapor kirim kirim lampir bukti kirim detail alas karna bank pasif knp gilir mending pake bank yg
mudah tanpa ribet mau tranfer k mna aja tidak ada biaya admint,5,2026-05-09 11:31:08,positif,mudah ribet tranfer k mna aja biaya admint
sangat membantu buat yang suka sat set transfer uang,5,2026-05-09 11:30:25,positif,bantu suka sat set transfer uang
sunggu senang menggunakan sea bank,5,2026-05-09 11:26:05,positif,sunggu senang sea bank
blom mempunyaiii p ndapatan sama sekali ..namu sangat memuaskan di buat transaksi,5,2026-05-09 11:24:24,positif,blom mempunyaiii p ndapatan namu muas transaksi
"keren ,banyak gratis ,murah ,tanpa ribet tanpa gangguan",5,2026-05-09 11:24:08,positif,keren gratis murah ribet ganggu
"ternyata sangat mudah menggunakan seabank awalnya smpat bingung,,,lebih praktis",5,2026-05-09 11:13:16,positif,mudah seabank smpat bingunglebih praktis
sangat aman dan mudah di gunakan🫡,5,2026-05-09 11:05:21,positif,aman mudah guna
layanan baik dan mudah,5,2026-05-09 11:01:16,positif,layan mudah
semoga bermanfaat,5,2026-05-09 10:56:51,positif,moga manfaat
sea bank. mantap. tingkatkan terus pelayanan bank ini saya yakin pasti akan banyak nasabah yang bergabung.,5,2026-05-09 10:55:59,positif,sea bank mantap tingkat layan bank nasabah gabung
mantep ni seabank,5,2026-05-09 10:55:25,positif,mantep ni seabank
sangat cpt dan bagus,5,2026-05-09 10:55:18,positif,cpt bagus
sangat membantu.mempermudah transsaksi,5,2026-05-09 10:33:52,positif,membantumempermudah transsaksi
bagusl,5,2026-05-09 10:31:24,positif,bagusl
jozzz,5,2026-05-09 10:26:43,positif,jozzz
best apk,4,2026-05-09 10:22:13,positif,best apk
gooood,5,2026-05-09 10:11:16,positif,gooood
bagus dan terpecah,5,2026-05-09 10:10:49,positif,bagus pecah
sangt memuaskan,5,2026-05-09 10:07:48,positif,sangt muas
sangat bagus dan gampang,5,2026-05-09 10:03:06,positif,bagus gampang
mantap aplikasinya,5,2026-05-09 10:03:01,positif,mantap aplikasi
cepat dan amanaha,5,2026-05-09 10:02:16,positif,cepat amanaha
cocok banget,5,2026-05-09 09:53:20,positif,cocok banget
"transaksi cepat dan lebih mudah ,adakan promo menarik untuk berbelanja menggunakan seabank mgkn lebih asyik transaksi pkek seabank .",5,2026-05-09 09:49:25,positif,transaksi cepat mudah adakan promo tarik belanja seabank mgkn asyik transaksi pkek seabank
siiiip,5,2026-05-09 09:44:44,positif,siiiip
gampang and simple,5,2026-05-09 09:44:15,positif,gampang and simple
baguussssssss sekali,5,2026-05-09 09:40:55,positif,baguussssssss
baguus bangeet,5,2026-05-09 09:33:02,positif,baguus bangeet
"cukup mudah untuk digunakan ada beberapa keuntunga, sayang Spinjanm sdsi tidak ada peningkatan",4,2026-05-09 09:29:11,positif,mudah keuntunga sayang spinjanm sdsi tingkat
tingkat kan lagi ya,5,2026-05-09 09:29:09,positif,tingkat ya
aman dan lancar,5,2026-05-09 09:17:33,positif,aman lancar
SEABANK Pilihan Tepat Dalam Bertransaksi 👍,5,2026-05-09 09:17:16,positif,seabank pilih transaksi 
sangat puas sekali pelayanan SEABANK TERIMA KASIH,5,2026-05-09 09:17:03,positif,puas layan seabank terima kasih
"seabank mudah di akses,mempermudah belanja,tarik tunai,transfer juga pembayaran sangat simple,ga ribet. poko nya oke.",5,2026-05-09 09:12:07,positif,seabank mudah aksesmempermudah belanjatarik tunaitransfer bayar simplega ribet poko nya oke
jos pokoel e,5,2026-05-09 09:07:42,positif,jos pokoel e
lebih baik,5,2026-05-09 09:04:38,positif,
mantap dan nyaman,5,2026-05-09 09:00:21,positif,mantap nyaman
tapi kenapa bunganya banyak,5,2026-05-09 08:59:21,positif,bunga
"aplikasi sangat membantu, apabila transfer kebanyakan gratis gk ada biaya🥰",5,2026-05-09 08:57:22,positif,aplikasi bantu transfer banyak gratis gk biaya
"suka banget pake apk ini, lancar jaya ga ada hambatan. jos jis",5,2026-05-09 08:56:53,positif,suka banget pake apk lancar jaya ga hambat jos jis
Pokok nya mantap lah,5,2026-05-09 08:55:17,positif,pokok nya mantap
proses cepat gratis lg,5,2026-05-09 08:53:47,positif,proses cepat gratis lg
semoga pihak seabank segera melengkapi gitu pinjaman di aku seabank saya kerna saya sering transaksi pakek seabank saya kasi 4 bintang dulu. kalo udah ada fitur pinjam saya kasi 5 bintang. terimakasih,4,2026-05-09 08:51:51,positif,moga seabank lengkap gitu pinjam seabank kerna transaksi pakek seabank kasi bintang kalo udah fitur pinjam kasi bintang terimakasih
aplikasi yang hebat ☺️☺️,5,2026-05-09 08:45:28,positif,aplikasi hebat 
seabank mantab,5,2026-05-09 08:44:57,positif,seabank mantab
semoga keamanannya selalu terjaga..,5,2026-05-09 08:42:40,positif,moga aman jaga
bagus dan cepat melakukan transaksi nya pertahankan kalo bisa!!,5,2026-05-09 08:38:50,positif,bagus cepat transaksi nya tahan kalo
ok bingit,5,2026-05-09 08:24:10,positif,ok bingit
cuma terlalu sering nelpon tagihannya,5,2026-05-09 08:18:52,positif,nelpon tagih
semoga aman dan amanah,5,2026-05-09 07:47:45,positif,moga aman amanah
kereennn banget,5,2026-05-09 07:43:05,positif,kereennn banget
senang bgt menggunakan aplikasi seabank mudah dan praktis,5,2026-05-09 07:38:11,positif,senang bgt aplikasi seabank mudah praktis
kenapa saya belum juga mendapatkan pitur pinjam padahal saya udah lama memakai seabnk,5,2026-05-09 07:34:27,positif,pitur pinjam udah pakai seabnk
keren bngt,5,2026-05-09 07:32:27,positif,keren bngt
mantap!,5,2026-05-09 07:27:55,positif,mantap
